,Title,Company,Salary,Location,Description
0,Python Quantitative Developer,"The Hagan-Ricci Group, Inc.","$300,000 - $400,000 a year","New York, NY","You will work directly in an extremely experienced trading team to design and implement a complex suite of research, data, and trading systems."
1,"Quantitative Researcher, Crypto",Jump Trading,"$150,000 - $200,000 a year","Chicago, IL","While not primarily a developer, the quantitative researcher should be a proficient and conscientious programmer with an eye for solid coding practices."
2,"Associate/VP, Quantitative Developer/Strat - Rates",Bank of America,,"New York, NY+3 locations",Knowledge and an interest in quantitative finance.
3,Quantitative Developer,AP Capital,"$140,000 - $300,000 a year","New York, NY 10017 (Turtle Bay area)","Adopting agile practices, drive cross-team initiatives with quantitative researchers."
4,Quantitative Developer,Advanced Blockchain,"$65,006 - $193,654 a year",Remote,Reasonable quantitative and statistical skills.
5,Quantitative Developer,MUFG,,"New York, NY 10020 (Midtown area)",Quantitative developer focused on development and support of the global valuation and risk platform for interest rate derivatives.
6,Quantitative Developer,Morgan Stanley,,"Alpharetta, GA+1 location",Strong analytical and quantitative skills.
7,Principal Quantitative Developer,Fidelity Investments,,"Boston, MA 02210 (South Boston area)",Thoughtfully apply sophisticated analytics and quantitative concepts to support investment needs and develop new solutions.
8,SharePoint Developer - Financial Crimes (Remote),Charles Schwab,"$87,600 - $157,600 a year","Hybrid remote in Lone Tree, CO 80124",Financial Crimes Risk Management (FCRM) is the part of Corporate Risk Management that protects our clients and our firm from financial crimes by assisting all…
9,Quantitative Developer,Beacon Platform,"$150,000 - $200,000 a year","New York, NY 10004 (Financial District area)",You will collaborate with developers in our other internal teams in order to deliver developer and end-user functionality for trading and risk management.
10,"Quantitative Developer, PsyOptions",PsyOptions,,"Santa Monica, CA 90401",You will refine our quantitative efforts - conducting research/pricing/execution/ hedging to facilitate market making by using automated trading infrastructure.
11,Backend Developer,"ViQi, Inc","$81,560 - $184,823 a year","Remote in Santa Barbara, CA 93117","JOB TYPE: *Full-time, salary."
12,Quantitative Developer,Diagram,,"New York, NY",Engineer and maintain quantitative research and trading software.
13,Predictive Analytics Model Developer (Remote),Shellpoint Mortgage Servicing,"$85,000 - $130,000 a year",Remote,"Advanced degree (Preferred) in a quantitative discipline such as financial engineering, math, statistics, science, quantitative economics."
14,Quantitative Developer,Pacific Investment Management Company LLC,,"New York, NY+1 location",PIMCO Portfolio Management Analytics is seeking a strong python developer and data scientist to support the Portfolio Management Group.
15,Quantitative Developer,MISSION STAFFING,$90 - $100 an hour,"New York, NY",The individual will be collaborating with front office professionals including traders and quants to build out a new risk tool for the Model Risk Management…
16,"Quantitative Researcher, Crypto",Jump Trading,"$150,000 - $200,000 a year","Chicago, IL","While not primarily a developer, the quantitative researcher should be a proficient and conscientious programmer with an eye for solid coding practices."
17,"Associate/VP, Quantitative Developer/Strat - Rates",Bank of America,,"New York, NY+3 locations",Knowledge and an interest in quantitative finance.
18,Quantitative Developer,AP Capital,"$140,000 - $300,000 a year","New York, NY 10017 (Turtle Bay area)","Adopting agile practices, drive cross-team initiatives with quantitative researchers."
19,Quantitative Developer,Advanced Blockchain,"$65,006 - $193,654 a year",Remote,Reasonable quantitative and statistical skills.
20,Quantitative Developer,MUFG,,"New York, NY 10020 (Midtown area)",Quantitative developer focused on development and support of the global valuation and risk platform for interest rate derivatives.
21,Quantitative Developer,Morgan Stanley,,"Alpharetta, GA+1 location",Strong analytical and quantitative skills.
22,Principal Quantitative Developer,Fidelity Investments,,"Boston, MA 02210 (South Boston area)",Thoughtfully apply sophisticated analytics and quantitative concepts to support investment needs and develop new solutions.
23,SharePoint Developer - Financial Crimes (Remote),Charles Schwab,"$87,600 - $157,600 a year","Hybrid remote in Lone Tree, CO 80124",Financial Crimes Risk Management (FCRM) is the part of Corporate Risk Management that protects our clients and our firm from financial crimes by assisting all…
24,Quantitative Developer,Beacon Platform,"$150,000 - $200,000 a year","New York, NY 10004 (Financial District area)",You will collaborate with developers in our other internal teams in order to deliver developer and end-user functionality for trading and risk management.
25,Software Developer Engineer,Amazon.com Services LLC,"$122,200 - $160,000 a year",+27 locationsRemote,Experience mentoring and developing entry level developers.
26,"Quantitative Developer, PsyOptions",PsyOptions,,"Santa Monica, CA 90401",You will refine our quantitative efforts - conducting research/pricing/execution/ hedging to facilitate market making by using automated trading infrastructure.
27,Backend Developer,"ViQi, Inc","$81,560 - $184,823 a year","Remote in Santa Barbara, CA 93117","JOB TYPE: *Full-time, salary."
28,SVP Python Developer,Michael Page,"$170,000 - $190,000 a year","Manhattan, NY","Lead and execute application development for automation of backtesting, components of regression models that are currently in MS excel."
29,Quantitative Developer,Diagram,,"New York, NY",Engineer and maintain quantitative research and trading software.
30,Quantitative Developer,MUFG,,"New York, NY 10020 (Midtown area)",Quantitative developer focused on development and support of the global valuation and risk platform for interest rate derivatives.
31,Predictive Analytics Model Developer (Remote),Shellpoint Mortgage Servicing,"$85,000 - $130,000 a year",Remote,"Advanced degree (Preferred) in a quantitative discipline such as financial engineering, math, statistics, science, quantitative economics."
32,Quantitative Developer,Bloomberg,,"Hybrid remote in New York, NY 10261",Skilled in addressing performance improvements in quantitative libraries.
33,SVP Python Developer,Michael Page,"$170,000 - $190,000 a year","Manhattan, NY","Lead and execute application development for automation of backtesting, components of regression models that are currently in MS excel."
34,"Quantitative Researcher, Crypto",Jump Trading,"$150,000 - $200,000 a year","Chicago, IL","While not primarily a developer, the quantitative researcher should be a proficient and conscientious programmer with an eye for solid coding practices."
35,"Associate/VP, Quantitative Developer/Strat - Rates",Bank of America,,"New York, NY+3 locations",Knowledge and an interest in quantitative finance.
